e, e_dot, e_int, stamp, 
-0.785404556362062, 0.0, -0.07038887212288071, 1729865901834897556, 
-0.785404556362062, 0.0, -0.0745371598617139, 1729865901880187011, 
-0.78541450107556, -6.58362369341999e-05, -0.07511657688521838, 1729865901930537770, 
-0.781037333635255, 0.028212650529133843, -0.07992135146278088, 1729865901982133735, 
-0.7700404514256394, 0.09127005963039621, -0.08550651391981667, 1729865902040326081, 
-0.7572459657339587, 0.14769906284462897, -0.08351520023967406, 1729865902090673796, 
-0.7398961890729434, 0.20044281721694776, -0.07581262826237194, 1729865902140643490, 
-0.7193127757719844, 0.2556507264511776, -0.07314851986078744, 1729865902189681250, 
-0.6880825683717013, 0.3139737906756686, -0.07790779735338862, 1729865902249489163, 
-0.6705272150468717, 0.3607682633885034, -0.06313387020687665, 1729865902280830754, 
-0.6289351378309096, 0.3990394844094511, -0.06402307525957732, 1729865902346125583, 
-0.5611110047658685, 0.44169045507934346, -0.10162736595249783, 1729865902444695348, 
-0.5005353493671212, 0.4268013599580687, -0.11317764545640148, 1729865902546963542, 
-0.4412809440258454, 0.38138319550149263, -0.10502785751880732, 1729865902654341931, 
-0.39487956832904825, 0.35364202617291185, -0.08845481092790033, 1729865902745486213, 
-0.34609277207499867, 0.3321096474976382, -0.07537851239197978, 1729865902845616965, 
-0.3045355609113116, 0.307801808655916, -0.06809996498128096, 1729865902940893531, 
-0.26655911575431857, 0.2783157446224882, -0.05824442268184034, 1729865903036126842, 
-0.2333298066062448, 0.24415200752576735, -0.05223843598205557, 1729865903135710212, 
-0.2064466029728318, 0.19367491312400784, -0.049036640571532904, 1729865903244398855, 
-0.18909709159680022, 0.1420171460185565, -0.04313455146424712, 1729865903341480775, 
-0.17229850336513808, 0.11884605853543424, -0.03625619567704879, 1729865903435946062, 
-0.15582726474248432, 0.10909374109318892, -0.035287598221566956, 1729865903546156173, 
-0.14431312558973364, 0.09830090787749678, -0.029822307686056367, 1729865903625318538, 
-0.13251791287343773, 0.08204878739056447, -0.028310044798872763, 1729865903742454577, 
-0.12453368598290293, 0.0619732022884136, -0.028205562843608468, 1729865903836140973, 
-0.11625046329921584, 0.05367077290305478, -0.025257493713594335, 1729865903945433582, 
-0.10882611545484622, 0.05626355715934406, -0.022039807036589622, 1729865904025264199, 
-0.09793127508853505, 0.061588562418069405, -0.021378468611284594, 1729865904143990382, 
-0.08922567703610396, 0.06181246485276981, -0.020882815100529882, 1729865904236926460, 
-0.08041150097854022, 0.05791246311130476, -0.01810766161770102, 1729865904347015007, 
-0.0738595174240988, 0.05438930498084358, -0.015334594152298668, 1729865904425856262, 
-0.06638269512667261, 0.06386572368135209, -0.010867642141537258, 1729865904494771081, 
-0.05610644160062961, 0.060399166200014724, -0.01376134982860717, 1729865904636115149, 
-0.04740315911767601, 0.05359324877998389, -0.013600430205828943, 1729865904734930827, 
-0.04246062698718012, 0.044421729746774406, -0.01012983351413362, 1729865904844304867, 
-0.03512676225668665, 0.03929250307683929, -0.008760538371711512, 1729865904945199647, 
-0.02973247473574947, 0.04398961190188999, -0.006864558770187622, 1729865905036195497, 
-0.027103340817701493, 0.028699544358729956, -0.005794618830035666, 1729865905134231500, 
-0.022592038173227635, 0.02254529659978063, -0.005521792778792913, 1729865905244754303, 
-0.021892934045832924, 0.015912726320801488, -0.005048038821461527, 1729865905345776036, 
-0.02072391272024099, 0.006621932248662472, -0.004158702918793206, 1729865905436079592, 
-0.018543867159248606, 0.010929673703662138, -0.004080748457650467, 1729865905545941217, 
-0.016990655083017003, 0.011853733455897469, -0.0039133608708605576, 1729865905644760879, 
-0.016436055700285834, 0.007065108989923854, -0.0034658607100000707, 1729865905746007919, 
-0.015340936071228217, 0.005884312772387549, -0.0031080172739919743, 1729865905835954271, 
-0.014334561794976608, 0.007416218519843913, -0.0029180999160453333, 1729865905935858381, 
-0.014658446322886487, 0.0021541357690449525, -0.002801877165029955, 1729865906025552369, 
-0.013804931604814552, 0.001159433690823677, -0.0029971231417104632, 1729865906145947219, 
-0.013112656376783605, 0.0049442317039324985, -0.0029075067475427224, 1729865906235349200, 
-0.011281897028877719, 0.008073196348283632, -0.002553220943006847, 1729865906346464656, 
-0.011905712904010102, 0.0029547575078490277, -0.002336139757123883, 1729865906428417185, 
-0.011236452076555992, -0.0005700458540176719, -0.0022416072514437305, 1729865906541817016, 
-0.010288403400642299, 0.005205605518653833, -0.002351122084990544, 1729865906639402717, 
-0.009568972424431887, 0.005406494522304406, -0.0021578258581373445, 1729865906750008738, 
-0.009699430775012008, 0.001591318261975464, -0.0018324632207170164, 1729865906825396750, 
-0.008607244187493812, 0.002424382477103703, -0.0018276484601648252, 1729865906946701762, 
-0.009216486952951186, 0.0007226231657661691, -0.0019305728344381926, 1729865907035827460, 
-0.0076019304489785, 0.0026280730300112264, -0.0016849613479777677, 1729865907145512087, 
-0.007557568920249835, 0.005054133151358527, -0.0017059693527781172, 1729865907245784423, 
-0.0070054782666164606, 0.0020933819414627585, -0.0014395789468847967, 1729865907340357167, 
-0.0068819151773937826, 0.0023801886307453367, -0.0013539975594066217, 1729865907435199196, 
-0.006028393311836133, 0.003002528646731713, -0.0013650320671504221, 1729865907545977776, 
-0.0048249234925363815, 0.006596525663139666, -0.0012436170316882775, 1729865907645563013, 
-0.004876299192303257, 0.003850864909303657, -0.0010282709148666522, 1729865907742092719, 
-0.0026808738629719997, 0.00761468873628399, -0.0007860421103626607, 1729865907836009463, 
-0.00031879917161070637, 0.0150011170403095, -0.0005332958283046327, 1729865907945227956, 
0.0001061550492726937, 0.008617645166861308, -0.00020233261124872552, 1729865908045787953, 
0.00025516974989825414, 0.0030526224590629093, 1.8537474878932184e-06, 1729865908076001863, 
-0.0027366445848762133, -0.00462054419027501, -0.00014996737683914765, 1729865908235194926, 
-0.0031724339200853713, -0.007578335001104154, -0.0005084007888467621, 1729865908345762560, 
-0.003986882638180145, -0.004721967138985103, -0.0006274833284727833, 1729865908425418994, 
-0.004237908517054301, -0.004113586735249635, -0.0007532622730392917, 1729865908544037737, 
-0.00281180527471081, 0.004508254627547256, -0.000771811095989985, 1729865908635214949, 
-0.004362665949990241, 0.000519759071949559, -0.0007658089159480455, 1729865908745347788, 
-0.005669713512153951, -0.00895450771037191, -0.0009093313180870565, 1729865908847606316, 
-0.0035615651046394525, 0.0029511735020051493, -0.0009048975862639922, 1729865908945046466, 
-0.005039734877597013, 0.0018548448883461618, -0.0009010663880787011, 1729865909037025180, 
